name,gender,sub1,sub2,sub3,sub4,lab1,lab2,year,dept,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,regno,password
Barjraj,m,24,71,73,77,25,6,1,CS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CS0,Ba1ZX256aj
Ramdin Verma,m,49,95,87,86,39,14,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1ZX01IS0,Ra1ZX3914ma
Sharat Chandran,m,41,76,96,15,21,30,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX01ME0,Sh1ZX2130an
Birender Mandal,m,98,37,48,54,16,11,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EC0,Bi1ZX1611al
Amit,m,32,66,63,13,47,12,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX01EE0,Am1ZX4712it
Kushal,m,82,81,89,69,7,11,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CI0,Ku1ZX711al
Kasid,m,23,40,44,89,10,43,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CS0,Ka1ZX1043id
Shiv Prakash,m,81,2,57,87,34,15,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1ZX02IS0,Sh1ZX3415sh
Vikram Singh,m,5,61,56,35,33,24,2,ME,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02ME0,Vi1ZX3324gh
Abhi,m,75,17,27,21,38,15,2,EC,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX02EC0,Ab1ZX3815hi
Ram Dutt Gupta,m,16,67,28,28,48,11,2,EE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EE0,Ra1ZX4811ta
Khadak Singh,m,18,90,72,27,2,39,2,CI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1ZX02CI0,Kh1ZX239gh
Gurmit Singh,m,62,29,56,56,31,1,3,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1ZX03CS0,Gu1ZX311gh
Chanderpal,m,38,30,15,84,27,46,3,IS,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03IS0,Ch1ZX2746al
Khursid,m,9,13,17,95,28,32,3,ME,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1ZX03ME0,Kh1ZX2832id
Rajeev,m,53,4,53,14,11,33,3,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX03EC0,Ra1ZX1133ev
Nahar Singh,m,88,81,7,85,2,2,3,EE,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX03EE0,Na1ZX22gh
Ram Kumar,m,40,89,48,11,12,5,3,CI,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CI0,Ra1ZX125ar
Sunder Paal,m,93,15,35,85,28,17,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1ZX04CS0,Su1ZX2817al
Maansingh Aswal,m,92,9,45,15,2,2,4,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04IS0,Ma1ZX22al
Rohit,m,58,53,80,93,9,23,4,ME,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1ZX04ME0,Ro1ZX923it
Sparsh,m,93,90,33,52,19,37,4,EC,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1ZX04EC0,Sp1ZX1937sh
Punit Khandelwal,m,91,71,61,24,2,18,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04EE0,Pu1ZX218al
